package_name,download_week,download_count
langchain,2025-05-18,17444548
langchain,2025-05-25,17692072
langchain,2025-06-01,17403317
langchain,2025-06-08,17352581
langchain,2025-06-15,17972068
langchain,2025-06-22,18820588
langchain,2025-06-29,17348327
langchain,2025-07-06,17895928
langchain,2025-07-13,18215449
langchain,2025-07-20,17859825
langchain,2025-07-27,18384783
langchain,2025-08-03,18967947
langchain,2025-08-10,17381647
langchain,2025-08-17,17556345
langchain,2025-08-24,17574704
langchain,2025-08-31,17501400
langchain,2025-09-07,18440387
langchain,2025-09-14,18869208
langchain,2025-09-21,18757032
langchain,2025-09-28,18826563
langchain,2025-10-05,17737063
langchain,2025-10-12,18717818
langchain,2025-10-19,20235052
langchain,2025-10-26,22009716
langchain,2025-11-02,21772064
langchain,2025-11-09,22422644
langchain,2025-11-16,23157966
langchain,2025-11-23,21493703
langchain,2025-11-30,22906115
langchain,2025-12-07,23604281
langchain,2025-12-14,23902113
langchain,2025-12-21,20724255
langchain,2025-12-28,20537787
langchain,2026-01-04,23831901
langchain,2026-01-11,25270436
langchain,2026-01-18,47092726
langchain,2026-01-25,50086112
openai,2023-12-31,2959347
openai,2024-01-07,4058593
openai,2024-01-14,4400126
openai,2024-01-21,4620043
openai,2024-01-28,4519488
openai,2024-02-04,4299870
openai,2024-02-11,4283679
openai,2024-02-18,4515497
openai,2024-02-25,4720005
openai,2024-03-03,4405717
openai,2024-03-10,4597312
openai,2024-03-17,5080299
openai,2024-03-24,5111922
openai,2024-03-31,4993079
openai,2024-04-07,5389995
openai,2024-04-14,5927891
openai,2024-04-21,5647033
openai,2024-04-28,5149498
openai,2024-05-05,5664020
openai,2024-05-12,5988533
openai,2024-05-19,5834614
openai,2024-05-26,6147960
openai,2024-06-02,6403359
openai,2024-06-09,6227419
openai,2024-06-16,6445212
openai,2024-06-23,6598138
openai,2024-06-30,5936433
openai,2024-07-07,6491315
openai,2024-07-14,6393350
openai,2024-07-21,7149840
openai,2024-07-28,7077218
openai,2024-08-04,7555281
openai,2024-08-11,7415151
openai,2024-08-18,7667660
openai,2024-08-25,8473292
openai,2024-09-01,8494382
openai,2024-09-08,9952873
openai,2024-09-15,11245166
openai,2024-09-22,11398667
openai,2024-09-29,11002975
openai,2024-10-06,10733236
openai,2024-10-13,10969639
openai,2024-10-20,10569106
openai,2024-10-27,10406524
openai,2024-11-03,10802469
openai,2024-11-10,11153774
openai,2024-11-17,11929729
openai,2024-11-24,11573082
openai,2024-12-01,11286153
openai,2024-12-08,11413871
openai,2024-12-15,10992153
openai,2024-12-22,7778067
openai,2024-12-29,8075228
openai,2025-01-05,10897716
openai,2025-01-12,12334378
openai,2025-01-19,11717317
openai,2025-01-26,11938178
openai,2025-02-02,12549061
openai,2025-02-09,12829344
openai,2025-02-16,11991379
openai,2025-02-23,12458834
openai,2025-03-02,13374647
openai,2025-03-09,13431096
openai,2025-03-16,14254236
openai,2025-03-23,15245826
openai,2025-03-30,14286342
openai,2025-04-06,15008518
openai,2025-04-13,15052328
openai,2025-04-20,15270602
openai,2025-04-27,14976017
openai,2025-05-04,16172579
openai,2025-05-11,16636763
openai,2025-05-18,16989652
openai,2025-05-25,15513569
openai,2025-06-01,16044155
openai,2025-06-08,16827295
openai,2025-06-15,17013384
openai,2025-06-22,19184293
openai,2025-06-29,18143310
openai,2025-07-06,19575324
openai,2025-07-13,19719007
openai,2025-07-20,20113136
openai,2025-07-27,22252883
openai,2025-08-03,23034256
openai,2025-08-10,22909288
openai,2025-08-17,23999435
openai,2025-08-24,24384981
openai,2025-08-31,24487733
openai,2025-09-07,25320938
openai,2025-09-14,25352304
openai,2025-09-21,26105080
openai,2025-09-28,28777634
openai,2025-10-05,27378087
openai,2025-10-12,28423213
openai,2025-10-19,29102658
openai,2025-10-26,30853669
openai,2025-11-02,31960295
openai,2025-11-09,31353309
openai,2025-11-16,32893541
openai,2025-11-23,28428727
openai,2025-11-30,32151605
openai,2025-12-07,31426626
openai,2025-12-14,31891655
openai,2025-12-21,23592554
openai,2025-12-28,22289079
openai,2026-01-04,31432589
openai,2026-01-11,32642724
openai,2026-01-18,32750567
openai,2026-01-25,31590604
