事件,窗口範圍,總週數,事件前週數,事件後週數,σ跳躍,Chow F,p值
DeepSeek-R1,2024-07-22 至 2025-07-21,52,26,26,9.00σ,19.75,0.0000
GPT-5,2025-02-06 至 2026-02-05,51,26,25,8.20σ,22.77,0.0000
