事件,標準差標準化,MAD標準化,IQR標準化,事件前均值,事件前中位數,事件後首週值
DeepSeek-R1,11.07σ,30.23σ,14.74σ,-1.63,-1.79,1.86
GPT-5,10.01σ,21.65σ,11.28σ,-1.07,-1.50,9.70
