分析方式,σ跳躍,Chow F,p值,事件前均值,事件前標準差
全樣本 (含DeepSeek影響),10.01σ,64.72,0.000000,-1.07,1.08
純淨基線 (僅DeepSeek前56週),35.95σ,141.02,0.000000,-1.63,0.31
