event,date,sigma_jump,chow_f,p_value,n_before,n_after
DeepSeek-R1,2025-01-20,11.07070289188405,15.143070770487151,1.6658634385269266e-06,56,53
GPT-5,2025-08-07,10.00968245417559,64.71623743228592,1.1102230246251565e-16,84,25
