final_demand,final_energy,redundancy_used,jumped_pct,policy,iteration
169401.82170232144,169401.82170232144,197.0134874972512,96.14,BAU (基準),0
171629.8260478895,171629.8260478895,199.76720073334656,95.92,BAU (基準),1
170823.64302998132,170823.64302998132,198.77079475615665,96.05,BAU (基準),2
170045.61408074375,170045.61408074375,197.80918594249223,96.04,BAU (基準),3
169267.1174929386,169267.1174929386,196.84699914857575,95.78999999999999,BAU (基準),4
169861.8845714848,169861.8845714848,197.58210452655422,95.97,BAU (基準),5
171876.06817392074,171876.06817392074,200.07154493405926,95.73,BAU (基準),6
170102.74724511628,170102.74724511628,197.879799965874,95.96000000000001,BAU (基準),7
170894.07543844735,170894.07543844735,198.85784604751916,96.0,BAU (基準),8
169772.5081026339,169772.5081026339,197.47163922797444,95.7,BAU (基準),9
170970.30791684487,170970.30791684487,198.9520659646397,96.2,BAU (基準),10
170699.8024611453,170699.8024611453,198.6177333789436,95.96000000000001,BAU (基準),11
170312.90188429103,170312.90188429103,198.1395416547417,96.04,BAU (基準),12
171600.49500093196,171600.49500093196,199.7309488775563,96.17999999999999,BAU (基準),13
171519.64646301317,171519.64646301317,199.63102371833082,96.05,BAU (基準),14
169856.65407215673,169856.65407215673,197.57563986446334,95.76,BAU (基準),15
170791.14783572088,170791.14783572088,198.73063215650893,95.67999999999999,BAU (基準),16
170306.04909616229,170306.04909616229,198.13107191660504,96.14,BAU (基準),17
168577.58171228593,168577.58171228593,195.9947639140612,95.92,BAU (基準),18
170496.0505898245,170496.0505898245,198.36590522337855,95.6,BAU (基準),19
170746.1233479315,170746.1233479315,198.67498391317372,95.86,BAU (基準),20
170033.62531909408,170033.62531909408,197.79436837191398,95.95,BAU (基準),21
171225.67121143738,171225.67121143738,199.267683519754,95.95,BAU (基準),22
168147.93360570268,168147.93360570268,195.46373816435158,95.72,BAU (基準),23
169523.91332112497,169523.91332112497,197.16438725082855,95.49,BAU (基準),24
170289.42330466295,170289.42330466295,198.11052318553843,95.86,BAU (基準),25
170234.9136409254,170234.9136409254,198.04315169103134,95.67,BAU (基準),26
170663.59834105425,170663.59834105425,198.57298671366252,95.62,BAU (基準),27
173419.523280612,173419.523280612,201.97918607716082,95.89999999999999,BAU (基準),28
171827.35606856435,171827.35606856435,200.01133896114692,96.03,BAU (基準),29
170186.3903037517,170186.3903037517,197.98317902710878,95.96000000000001,BAU (基準),30
171800.7252211867,171800.7252211867,199.97842443068015,95.96000000000001,BAU (基準),31
169859.33505025838,169859.33505025838,197.57895343290357,95.96000000000001,BAU (基準),32
170683.0307612854,170683.0307612854,198.597004311701,95.74000000000001,BAU (基準),33
170393.50897749732,170393.50897749732,198.23916839915395,95.82000000000001,BAU (基準),34
172141.57180420627,172141.57180420627,200.39969548834478,95.89,BAU (基準),35
171436.33996335053,171436.33996335053,199.52806062886017,95.94,BAU (基準),36
171974.50848392246,171974.50848392246,200.1932127329378,96.06,BAU (基準),37
170464.48599773715,170464.48599773715,198.32689280619192,96.21,BAU (基準),38
169576.40807838558,169576.40807838558,197.22926841148777,95.86,BAU (基準),39
171223.7734388444,171223.7734388444,199.26533795812225,95.75,BAU (基準),40
171049.51836980294,171049.51836980294,199.0499665244755,96.02000000000001,BAU (基準),41
172085.2190277497,172085.2190277497,200.33004598935352,96.16,BAU (基準),42
173464.95061121538,173464.95061121538,202.03533221610886,95.99,BAU (基準),43
172041.72563602088,172041.72563602088,200.27629011193588,96.32,BAU (基準),44
173503.59162459805,173503.59162459805,202.08309077197507,96.04,BAU (基準),45
170495.50543594462,170495.50543594462,198.36523143768432,95.81,BAU (基準),46
171831.6390900416,171831.6390900416,200.01663258319743,96.12,BAU (基準),47
169743.1411112659,169743.1411112659,197.43534294650837,95.97,BAU (基準),48
168668.87912518746,168668.87912518746,196.10760341315302,95.41,BAU (基準),49
169411.18515296662,169411.18515296662,197.0250603014194,95.8,BAU (基準),50
169462.4781132266,169462.4781132266,197.08845609499912,95.7,BAU (基準),51
169723.13984037243,169723.13984037243,197.41062227461757,95.84,BAU (基準),52
170594.7910007494,170594.7910007494,198.48794393351042,96.11,BAU (基準),53
169936.47547693228,169936.47547693228,197.67429553328702,95.71,BAU (基準),54
169994.34328859794,169994.34328859794,197.7458175477053,95.86,BAU (基準),55
171191.2293348925,171191.2293348925,199.22511490829407,95.74000000000001,BAU (基準),56
168290.36451101492,168290.36451101492,195.6397763619285,95.98,BAU (基準),57
168503.69283112625,168503.69283112625,195.90344057779646,95.65,BAU (基準),58
170073.45147430053,170073.45147430053,197.8435917098096,95.89999999999999,BAU (基準),59
170992.72447111487,170992.72447111487,198.9797718182318,95.95,BAU (基準),60
170576.01011034776,170576.01011034776,198.464731597059,95.54,BAU (基準),61
172112.04625985914,172112.04625985914,200.36320324252247,96.36,BAU (基準),62
