Policy,Mean_Energy,Std_Energy,CI_Lower_95,CI_Upper_95,Mean_Redundancy,Mean_Jumped,Reduction_pct
BAU (基準),170489.6224269735,1200.8345515821306,168223.98514306394,173057.36958222874,198.35796030300094,95.91179999999999,0.0
碳稅 20%,162059.58825269583,973.7825555097697,160154.07793241818,163903.33388627888,187.93881694153413,94.56569999999999,4.944602524349273
碳稅 50%,149903.40920268383,1196.979654966725,147724.62935158543,151895.45972252495,172.91432598084512,92.57589999999999,12.074760288185548
定額 2x,20000.0,0.0,20000.0,20000.0,12.359550561797748,95.92650000000002,88.2690807127767
定額 5x,50000.0,0.0,50000.0,50000.0,49.43820224719099,95.90360000000001,70.67270178194177
